,url,snippet,doc_cluster
0,https://archive.org/details/RT_20201120_000000_News#start/1038/end/1073,"a world transformed what will make you feel safe? isolation, community? are you going the right way or are you being so direct? what is true?",6
1,https://archive.org/details/RT_20201120_000000_News#start/1128/end/1163,"of to baku. meanwhile, refugees are returning to kind of bach and russian. peacekeepers are securing the key highway, connecting the area with armenia, tested the route himself and brings us this report. one of the things compounding",0
2,https://archive.org/details/RT_20201120_000000_News#start/1164/end/1199,"control of different sides. what the russian peacekeeping mission has been able to do is to make the achaeans key, corridor safe for all these refugees to return. so we went for a very literal test drive to see if it's true afresh. and peacekeepers really had",0
3,https://archive.org/details/RT_20201120_000000_News#start/1591/end/1626,"saving their lives. they need all the immediate things you need 1st, we need to give them the water of food and shelter, and stabilize their condition. the numbers are so huge that it's really, really challenging to reach everyone. this is really more corner of sudan is trying",0
4,https://archive.org/details/RT_20201120_010000_News#start/65/end/100,"linking the region to armenia and he takes the trip, tests and safety of",0
5,https://archive.org/details/RT_20201120_010000_News#start/1130/end/1165,"to baku. meanwhile, refugees are returning to cut back and russian. peacekeepers are securing the key highway, connecting the area with armenia tested the route himself and brings us this report . one of the things compounding the humanitarian disaster here",0
6,https://archive.org/details/RT_20201120_010000_News#start/1170/end/1205,"do is to make the achaeans key, corridor safe for all these refugees to return. so we went for a very literal test drive to see if it's true afresh. and peacekeepers really had convinced that said by john to let mean refugees return, it turned out to be",0
7,https://archive.org/details/RT_20201120_010000_News#start/1590/end/1625,"saving, get lives. they need all the things you need 1st. we need to give didn't want to have food and shelter and stabilize their condition. the numbers are so huge that it's really, really challenging to reach everyone. this is really more corner of sudan,",0
8,https://archive.org/details/RT_20201120_010000_News#start/1697/end/1732,isolation in the community? are you going the right way or are you being led? directly to what is true is faith in the,6
9,https://archive.org/details/RT_20201120_020000_News#start/59/end/94,only route linking the region to armenia or to take the trip and test its safety.,0
10,https://archive.org/details/RT_20201120_020000_News#start/1031/end/1066,"to baku. meanwhile, refugees are returning to a buck and russian. peacekeepers are securing the key highway connecting the area with our medium. you have tested the route himself and brings us this report. one of the things compounding the humanitarian disaster here is the shia ruggedness of",0
11,https://archive.org/details/RT_20201120_020000_News#start/1069/end/1104,"do is to make the achaeans key, corridor safe for all these refugees to return. so we went for a very literal test drive to see if it's true. fresh and peacekeepers really had convinced that said by john to let mean refugees written it turned out to be",0
12,https://archive.org/details/RT_20201120_020000_News#start/1488/end/1523,"nothing. they just fled, saving their lives. they need all the immediate things you need 1st. we need to give them the water, food, and shelter, and stabilize their condition. the numbers are so huge that it's really, really challenging to reach everyone. this is really more corner of sudan,",0
13,https://archive.org/details/RT_20201120_050000_News#start/55/end/90,"french catholics hit the streets against a ban on all religious gatherings during the lockdown. one worshiper told us the move raises disturbing historical parallels in french history. this isn't the 1st time that going to mass has been considered illegal,",5
14,https://archive.org/details/RT_20201120_050000_News#start/476/end/511,"egg. and an expected foe the surge of coronavirus cases, medical workers know the city, how to provide enough protective equipment or new stuff to cope with a spike in victims. we are here today because we are finding no more. i am",1
15,https://archive.org/details/RT_20201120_050000_News#start/527/end/562,"it's difficult to shield nursing home residents despite rules that restrict visitors, i think it's clearly, as we've talked about, it's a challenge to take care of individuals during this covert outrage. and",3
16,https://archive.org/details/RT_20201120_050000_News#start/593/end/628,"laying on the floor. he looks like he's there for hours. and as more than 97000 of the nation's long term care residents have died amid the pandemic. they are not only succumbing to the virus, but to slow declines from isolation. and it's causing",3
17,https://archive.org/details/RT_20201120_050000_News#start/593/end/628,"laying on the floor. he looks like he's there for hours. and as more than 97000 of the nation's long term care residents have died amid the pandemic. they are not only succumbing to the virus, but to slow declines from isolation. and it's causing",3
18,https://archive.org/details/RT_20201120_050000_News#start/714/end/749,seem religious service is essential under france's measures to fight the virus. only funerals and weddings are,2
19,https://archive.org/details/RT_20201120_050000_News#start/695/end/730,"some things are important, more important than covert restrictions. i saw it depends reports, churches may be closed for services, but carefully are still meeting and they are protesting. lockdown measures that",0
20,https://archive.org/details/RT_20201120_050000_News#start/768/end/803,"the catholic church has failed to persuade the current sleep state that religious services such as mers are essential, and should be permitted during the lockdown. but some while others have decided to take matters into their own hands. well,",2
21,https://archive.org/details/RT_20201120_050000_News#start/786/end/821,"if i might go to confession with you a bit, charlotte, i did not start going to master in the 1st lockdown, and i don't intend to start doing that this time. keeping not to draw focus from the authorities for attending these prohibited masses. we have agreed to hide his",9
22,https://archive.org/details/RT_20201120_050000_News#start/906/end/941,"given that i had no intention to distribute the virus or any desire to do so, i couldn't feel bad in that sense. that attitude is likely to in theory your forty's, which one services such as this all banned well for the protests by catholics will",7
23,https://archive.org/details/RT_20201120_050000_News#start/923/end/958,"not be tolerated. life is more important than anything else. and life is about battling the coronavirus. it's not just catholics who have been impacted by this. the blanket ban hates any religious service. that means that muslims, jews,",4
24,https://archive.org/details/RT_20201120_050000_News#start/1799/end/1834,in a world transformed what will make you feel safe? isolation or community? are you going the right way or are you being led? so direct. what is true?,6
25,https://archive.org/details/RT_20201120_060000_News#start/33/end/68,"but french catholics hit the streets against a ban on all religious gatherings during the lockdown. one worship told us the move, raises, disturbing historical parallels in french history. this isn't the 1st time that",5
26,https://archive.org/details/RT_20201120_060000_News#start/481/end/516,it comes as new york now says protests. what they call inadequate preparation by hospitals ahead of an expected further surge of coronavirus cases. medical workers know the city hasn't provided enough protective equipment or new stuff to cope with,1
27,https://archive.org/details/RT_20201120_060000_News#start/516/end/551,"people are not our record of what happened and bring as a grown, a virus pandemic continues to hold a tight grip on the nation. nursing homes continue to be one of the most vulnerable populations to bear the brunt of the surge,",3
28,https://archive.org/details/RT_20201120_060000_News#start/529/end/564,"in cases among the nation's most vulnerable residents comes as inductions, hospitalizations and search nationwide. industry experts say that when cases spread in the community, it's difficult to shield nursing home residents despite rules that restrict",3
29,https://archive.org/details/RT_20201120_060000_News#start/610/end/645,"nation's long term care residents have died amid the pandemic. they are not only succumbing to the virus, but to slow declines from isolation. and it's causing a lot of them to talk about losing the will to live, not wanting to go on anymore or being separated from their families. so that's",3
30,https://archive.org/details/RT_20201120_060000_News#start/610/end/645,"nation's long term care residents have died amid the pandemic. they are not only succumbing to the virus, but to slow declines from isolation. and it's causing a lot of them to talk about losing the will to live, not wanting to go on anymore or being separated from their families. so that's",3
31,https://archive.org/details/RT_20201120_060000_News#start/712/end/747,"astrology, penske reports, churches may be closed for services, but carefully are still meeting and they are protesting. lockdown measures that seem religious service is essential",2
32,https://archive.org/details/RT_20201120_060000_News#start/696/end/731,"patients or the caregivers. but france has a ban on all religious gatherings, including mass, as part of the lockdown has sent angry believers on to the streets in protest. worshippers warn that some things are more important than covert restrictions.",4
33,https://archive.org/details/RT_20201120_060000_News#start/733/end/768,"under france's measures to fight the virus. only funerals and weddings are currently allowed in religious buildings or services, but the limits on the numbers that turned religious leaders say the restrictions.",2
34,https://archive.org/details/RT_20201120_060000_News#start/770/end/805,"with health precautions. despite taking their pleas to france's highest administrative court, the catholic church has failed to persuade the council of state that religious services such as mass, are essential and should be permitted during the lockdown. that's angered some",2
