"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.44548,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.49804,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",99.58995,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",99.70863,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",99.76682,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",99.77831,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.75494,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.74959,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.77419,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",99.83562,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",99.95014,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.1511,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.359,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.477,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.5161,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.5056,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.4374,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.3923,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.294,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.2138,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.1909,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.3205,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.4903,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.5508,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.471,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.3268,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.2354,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.2336,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.3044,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.3071,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.2434,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.2389,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.2732,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.3064,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.3858,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.4585,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.4665,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.4857,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.5693,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.6708,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.7489,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.7854,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.8296,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.8973,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-09",100.9656,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.0533,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.0768,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.0686,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.0809,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.1141,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.1232,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.0945,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.0757,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.082,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.1011,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.0507,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-09",100.9725,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.8682,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.748,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.6452,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.5903,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-02",100.6624,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-03",100.7601,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-04",100.7912,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-05",100.7648,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-06",100.6681,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-07",100.5324,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.3749,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.3563,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-10",100.4414,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.5972,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.7065,
