DATE,V2Tone,V2Organizations
20201119191500,"-7.55813953488372,1.16279069767442,8.72093023255814,9.88372093023256,20.9302325581395,0,173","Oasis Academy Brislington,372;Oasis Academy Brislington,840;Near Oasis Academy Brislington,840;Lloyds Bank,1106"
20201120221500,"-0.317460317460317,4.55026455026455,4.86772486772487,9.41798941798942,20.5291005291005,0.317460317460317,853","Allied Irish Banks,859;Lloyds Banking Group,3917;Reuters,59;Reuters,4983;Reuters,5076;Royal Bank,911"
20201120220000,"-1.78997613365155,1.43198090692124,3.22195704057279,4.65393794749403,27.326968973747,0,771","Lloyds Banking Group,246;Lloyds Banking Group,722;Lloyds Bank,849;High Court,476;High Court,2615"
20201119110000,"0.215982721382289,3.02375809935205,2.80777537796976,5.83153347732181,13.1749460043197,0,441","Lloyds Bank United Kingdom Recovery Tracker,335;Lloyds Bank Commercial Banking,2592;United States,1946"
20201119114500,"1.97368421052632,3.61842105263158,1.64473684210526,5.26315789473684,25.6578947368421,1.97368421052632,559","Nissan,527;Parsons School Of Design,309;Lloyds Bank,518"
20201120004500,"-2.2360248447205,3.47826086956522,5.71428571428571,9.19254658385093,27.3291925465839,3.97515527950311,740","Google,2371;Twitter,2641;Twitter,2703;Facebook,2100;Facebook,2183;Advertising Standards Authority,3661;Lloyds Bank,127;Lloyds Bank,1304;Lloyds Bank,3730"
20201120020000,"-2.1039603960396,3.58910891089109,5.69306930693069,9.28217821782178,27.3514851485149,3.96039603960396,738","Google,2371;Twitter,2641;Twitter,2703;Facebook,2100;Facebook,2183;Advertising Standards Authority,3661;Lloyds Bank,127;Lloyds Bank,1304;Lloyds Bank,3730"
20201120021500,"-2.24438902743142,3.49127182044888,5.7356608478803,9.22693266832918,27.3067331670823,3.99002493765586,738","Google,2371;Twitter,2641;Twitter,2703;Facebook,2100;Facebook,2183;Advertising Standards Authority,3661;Lloyds Bank,127;Lloyds Bank,1304;Lloyds Bank,3730"
20201120151500,"-6.13138686131387,1.31386861313869,7.44525547445255,8.75912408759124,24.963503649635,0,599","Dorset Police,3744;Rolex,1778;Rolex,2408;Rover,1708;Rover,2453;Lloyds Bank,1048;Lloyds Bank,2233;Natwest,1015;Natwest,1026;Norco Holdings Ltd,311"
20201120154500,"4.66200466200466,6.52680652680653,1.86480186480186,8.39160839160839,25.1748251748252,0.466200466200466,377","Lloyds Bank,2126"
20201120174500,"1.38461538461539,4.15384615384615,2.76923076923077,6.92307692307692,15.5384615384615,0,588","Campaign Of The Year,3105;Scottish Press,2924;Referendum Party,2567;Lloyds Banking Group,3210;Halifax Bank,3174"
20201120173000,"0.10351966873706,3.1055900621118,3.00207039337474,6.10766045548654,29.1925465838509,1.0351966873706,890","Express,3433;Lloyds Banking Group Pensions Trustees,440;Principal Of The Pensions Dashboards Programme,4565;Pensions Service,4217;Pensions Service,4597;Lloyds Bank,462"
